relay,lat,rate,obs,up,down
direct,600.0,300,17,6.93,314.807
direct,600.0,300,18,6.864,313.923
direct,600.0,300,19,6.996,315.377
direct,600.0,300,20,6.93,315.846
tor,100.0,50,1,3.326,2.74
tor,100.0,50,2,5.966,104.154
tor,100.0,50,3,6.486,122.812
tor,100.0,50,4,6.552,122.81
tor,100.0,50,5,6.486,122.058
tor,100.0,50,6,6.486,122.81
tor,100.0,50,7,6.552,123.428
tor,100.0,50,8,6.552,122.258
tor,100.0,50,9,6.552,122.626
tor,100.0,50,10,6.552,123.706
tor,100.0,50,11,6.552,121.372
tor,100.0,50,12,6.552,123.154
tor,100.0,50,13,6.618,123.706
tor,100.0,50,14,6.486,121.372
tor,100.0,50,15,6.552,123.154
tor,100.0,50,16,6.618,123.766
tor,100.0,50,17,6.486,121.432
tor,100.0,50,18,6.552,123.214
tor,100.0,50,19,6.618,123.706
tor,100.0,50,20,6.486,121.372
tor,100.0,150,1,9.952,166.27
tor,100.0,150,2,12.898,232.338
tor,100.0,150,3,11.792,228.89
tor,100.0,150,4,12.576,230.154
tor,100.0,150,5,12.378,229.83
tor,100.0,150,6,12.444,230.704
tor,100.0,150,7,12.378,229.254
tor,100.0,150,8,12.378,230.944
tor,100.0,150,9,12.444,229.83
tor,100.0,150,10,12.444,229.83
tor,100.0,150,11,12.444,228.776
tor,100.0,150,12,12.444,229.83
tor,100.0,150,13,12.444,230.644
tor,100.0,150,14,12.444,230.644
tor,100.0,150,15,12.444,228.316
tor,100.0,150,16,12.444,231.404
tor,100.0,150,17,12.444,229.89
tor,100.0,150,18,12.444,229.89
tor,100.0,150,19,12.378,228.382
tor,100.0,150,20,12.312,232.416
tor,100.0,300,1,15.778,272.094
tor,100.0,300,2,19.978,390.716
tor,100.0,300,3,21.282,390.978
tor,100.0,300,4,22.52,388.524
tor,100.0,300,5,21.216,393.066
tor,100.0,300,6,19.912,389.202
tor,100.0,300,7,21.282,390.754
tor,100.0,300,8,21.216,391.552
tor,100.0,300,9,21.736,389.814
tor,100.0,300,10,21.934,390.874
tor,100.0,300,11,19.978,392.23
tor,100.0,300,12,21.216,387.95
tor,100.0,300,13,22.454,391.486
tor,100.0,300,14,21.216,391.552
tor,100.0,300,15,19.978,390.716
tor,100.0,300,16,21.348,389.464
tor,100.0,300,17,21.934,390.954
tor,100.0,300,18,21.868,390.874
tor,100.0,300,19,19.912,390.716
tor,100.0,300,20,21.282,389.464
tor,150.0,50,1,6.862,128.498
tor,150.0,50,2,6.42,122.744
tor,150.0,50,3,6.42,120.754
tor,150.0,50,4,6.222,124.192
tor,150.0,50,5,6.222,123.574
tor,150.0,50,6,5.636,122.06
tor,150.0,50,7,6.288,122.06
tor,150.0,50,8,6.808,123.574
tor,150.0,50,9,6.354,121.782
tor,150.0,50,10,6.222,123.574
tor,150.0,50,11,6.222,122.06
